survived,class,sex,age,siblings_spouses,parents_children,fare,port
0,3rd,male,22.0,1,0,7.25,Southampton
1,1st,female,38.0,1,0,71.28,Cherbourg
1,3rd,female,26.0,0,0,7.92,Southampton
1,1st,female,35.0,1,0,53.1,Southampton
0,3rd,male,35.0,0,0,8.05,Southampton
0,3rd,male,,0,0,8.46,Queenstown
0,1st,male,54.0,0,0,51.86,Southampton
0,3rd,male,2.0,3,1,21.08,Southampton
1,3rd,female,27.0,0,2,11.13,Southampton
1,2nd,female,14.0,1,0,30.07,Cherbourg
1,3rd,female,4.0,1,1,16.7,Southampton
1,1st,female,58.0,0,0,26.55,Southampton
0,3rd,male,20.0,0,0,8.05,Southampton
0,3rd,male,39.0,1,5,31.28,Southampton
0,3rd,female,14.0,0,0,7.85,Southampton
1,2nd,female,55.0,0,0,16.0,Southampton
0,3rd,male,2.0,4,1,29.12,Queenstown
1,2nd,male,,0,0,13.0,Southampton
0,3rd,female,31.0,1,0,18.0,Southampton
1,3rd,female,,0,0,7.22,Cherbourg
0,2nd,male,35.0,0,0,26.0,Southampton
1,2nd,male,34.0,0,0,13.0,Southampton
1,3rd,female,15.0,0,0,8.03,Queenstown
1,1st,male,28.0,0,0,35.5,Southampton
0,3rd,female,8.0,3,1,21.08,Southampton
1,3rd,female,38.0,1,5,31.39,Southampton
0,3rd,male,,0,0,7.22,Cherbourg
0,1st,male,19.0,3,2,263.0,Southampton
1,3rd,female,,0,0,7.88,Queenstown
0,3rd,male,,0,0,7.9,Southampton
0,1st,male,40.0,0,0,27.72,Cherbourg
1,1st,female,,1,0,146.52,Cherbourg
1,3rd,female,,0,0,7.75,Queenstown
0,2nd,male,66.0,0,0,10.5,Southampton
0,1st,male,28.0,1,0,82.17,Cherbourg
0,1st,male,42.0,1,0,52.0,Southampton
1,3rd,male,,0,0,7.23,Cherbourg
0,3rd,male,21.0,0,0,8.05,Southampton
0,3rd,female,18.0,2,0,18.0,Southampton
1,3rd,female,14.0,1,0,11.24,Cherbourg
0,3rd,female,40.0,1,0,9.48,Southampton
0,2nd,female,27.0,1,0,21.0,Southampton
0,3rd,male,,0,0,7.9,Cherbourg
1,2nd,female,3.0,1,2,41.58,Cherbourg
1,3rd,female,19.0,0,0,7.88,Queenstown
0,3rd,male,,0,0,8.05,Southampton
0,3rd,male,,1,0,15.5,Queenstown
1,3rd,female,,0,0,7.75,Queenstown
0,3rd,male,,2,0,21.68,Cherbourg
0,3rd,female,18.0,1,0,17.8,Southampton
0,3rd,male,7.0,4,1,39.69,Southampton
0,3rd,male,21.0,0,0,7.8,Southampton
1,1st,female,49.0,1,0,76.73,Cherbourg
1,2nd,female,29.0,1,0,26.0,Southampton
0,1st,male,65.0,0,1,61.98,Cherbourg
1,1st,male,,0,0,35.5,Southampton
1,2nd,female,21.0,0,0,10.5,Southampton
0,3rd,male,28.5,0,0,7.23,Cherbourg
1,2nd,female,5.0,1,2,27.75,Southampton
0,3rd,male,11.0,5,2,46.9,Southampton
0,3rd,male,22.0,0,0,7.23,Cherbourg
1,1st,female,38.0,0,0,80.0,
0,1st,male,45.0,1,0,83.48,Southampton
0,3rd,male,4.0,3,2,27.9,Southampton
0,1st,male,,0,0,27.72,Cherbourg
1,3rd,male,,1,1,15.25,Cherbourg
1,2nd,female,29.0,0,0,10.5,Southampton
0,3rd,male,19.0,0,0,8.16,Southampton
1,3rd,female,17.0,4,2,7.92,Southampton
0,3rd,male,26.0,2,0,8.66,Southampton
0,2nd,male,32.0,0,0,10.5,Southampton
0,3rd,female,16.0,5,2,46.9,Southampton
0,2nd,male,21.0,0,0,73.5,Southampton
0,3rd,male,26.0,1,0,14.45,Cherbourg
1,3rd,male,32.0,0,0,56.5,Southampton
0,3rd,male,25.0,0,0,7.65,Southampton
0,3rd,male,,0,0,7.9,Southampton
0,3rd,male,,0,0,8.05,Southampton
1,2nd,male,0.83,0,2,29.0,Southampton
1,3rd,female,30.0,0,0,12.48,Southampton
0,3rd,male,22.0,0,0,9.0,Southampton
1,3rd,male,29.0,0,0,9.5,Southampton
1,3rd,female,,0,0,7.79,Queenstown
0,1st,male,28.0,0,0,47.1,Southampton
1,2nd,female,17.0,0,0,10.5,Southampton
1,3rd,female,33.0,3,0,15.85,Southampton
0,3rd,male,16.0,1,3,34.38,Southampton
0,3rd,male,,0,0,8.05,Southampton
1,1st,female,23.0,3,2,263.0,Southampton
0,3rd,male,24.0,0,0,8.05,Southampton
0,3rd,male,29.0,0,0,8.05,Southampton
0,3rd,male,20.0,0,0,7.85,Southampton
0,1st,male,46.0,1,0,61.18,Southampton
0,3rd,male,26.0,1,2,20.58,Southampton
0,3rd,male,59.0,0,0,7.25,Southampton
0,3rd,male,,0,0,8.05,Southampton
0,1st,male,71.0,0,0,34.65,Cherbourg
1,1st,male,23.0,0,1,63.36,Cherbourg
1,2nd,female,34.0,0,1,23.0,Southampton
0,2nd,male,34.0,1,0,26.0,Southampton
0,3rd,female,28.0,0,0,7.9,Southampton
0,3rd,male,,0,0,7.9,Southampton
0,1st,male,21.0,0,1,77.29,Southampton
0,3rd,male,33.0,0,0,8.65,Southampton
0,3rd,male,37.0,2,0,7.92,Southampton
0,3rd,male,28.0,0,0,7.9,Southampton
1,3rd,female,21.0,0,0,7.65,Southampton
1,3rd,male,,0,0,7.78,Southampton
0,3rd,male,38.0,0,0,7.9,Southampton
1,3rd,female,,1,0,24.15,Queenstown
0,1st,male,47.0,0,0,52.0,Southampton
0,3rd,female,14.5,1,0,14.45,Cherbourg
0,3rd,male,22.0,0,0,8.05,Southampton
0,3rd,female,20.0,1,0,9.82,Southampton
0,3rd,female,17.0,0,0,14.46,Cherbourg
0,3rd,male,21.0,0,0,7.92,Southampton
0,3rd,male,70.5,0,0,7.75,Queenstown
0,2nd,male,29.0,1,0,21.0,Southampton
0,1st,male,24.0,0,1,247.52,Cherbourg
0,3rd,female,2.0,4,2,31.28,Southampton
0,2nd,male,21.0,2,0,73.5,Southampton
0,3rd,male,,0,0,8.05,Southampton
0,2nd,male,32.5,1,0,30.07,Cherbourg
1,2nd,female,32.5,0,0,13.0,Southampton
0,1st,male,54.0,0,1,77.29,Southampton
1,3rd,male,12.0,1,0,11.24,Cherbourg
0,3rd,male,,0,0,7.75,Queenstown
1,3rd,male,24.0,0,0,7.14,Southampton
1,3rd,female,,1,1,22.36,Cherbourg
0,3rd,male,45.0,0,0,6.98,Southampton
0,3rd,male,33.0,0,0,7.9,Cherbourg
0,3rd,male,20.0,0,0,7.05,Southampton
0,3rd,female,47.0,1,0,14.5,Southampton
1,2nd,female,29.0,1,0,26.0,Southampton
0,2nd,male,25.0,0,0,13.0,Southampton
0,2nd,male,23.0,0,0,15.05,Cherbourg
1,1st,female,19.0,0,2,26.28,Southampton
0,1st,male,37.0,1,0,53.1,Southampton
0,3rd,male,16.0,0,0,9.22,Southampton
0,1st,male,24.0,0,0,79.2,Cherbourg
0,3rd,female,,0,2,15.25,Cherbourg
1,3rd,female,22.0,0,0,7.75,Southampton
1,3rd,female,24.0,1,0,15.85,Southampton
0,3rd,male,19.0,0,0,6.75,Queenstown
0,2nd,male,18.0,0,0,11.5,Southampton
0,2nd,male,19.0,1,1,36.75,Southampton
1,3rd,male,27.0,0,0,7.8,Southampton
0,3rd,female,9.0,2,2,34.38,Southampton
0,2nd,male,36.5,0,2,26.0,Southampton
0,2nd,male,42.0,0,0,13.0,Southampton
0,2nd,male,51.0,0,0,12.52,Southampton
1,1st,female,22.0,1,0,66.6,Southampton
0,3rd,male,55.5,0,0,8.05,Southampton
0,3rd,male,40.5,0,2,14.5,Southampton
0,3rd,male,,0,0,7.31,Southampton
0,1st,male,51.0,0,1,61.38,Cherbourg
1,3rd,female,16.0,0,0,7.73,Queenstown
0,3rd,male,30.0,0,0,8.05,Southampton
0,3rd,male,,0,0,8.66,Southampton
0,3rd,male,,8,2,69.55,Southampton
0,3rd,male,44.0,0,1,16.1,Southampton
1,2nd,female,40.0,0,0,15.75,Southampton
0,3rd,male,26.0,0,0,7.78,Southampton
0,3rd,male,17.0,0,0,8.66,Southampton
0,3rd,male,1.0,4,1,39.69,Southampton
1,3rd,male,9.0,0,2,20.52,Southampton
1,1st,female,,0,1,55.0,Southampton
0,3rd,female,45.0,1,4,27.9,Southampton
0,1st,male,,0,0,25.92,Southampton
0,3rd,male,28.0,0,0,56.5,Southampton
0,1st,male,61.0,0,0,33.5,Southampton
0,3rd,male,4.0,4,1,29.12,Queenstown
1,3rd,female,1.0,1,1,11.13,Southampton
0,3rd,male,21.0,0,0,7.92,Southampton
0,1st,male,56.0,0,0,30.7,Cherbourg
0,3rd,male,18.0,1,1,7.85,Southampton
0,3rd,male,,3,1,25.47,Southampton
0,1st,female,50.0,0,0,28.71,Cherbourg
0,2nd,male,30.0,0,0,13.0,Southampton
0,3rd,male,36.0,0,0,0.0,Southampton
0,3rd,female,,8,2,69.55,Southampton
0,2nd,male,,0,0,15.05,Cherbourg
0,3rd,male,9.0,4,2,31.39,Southampton
1,2nd,male,1.0,2,1,39.0,Southampton
1,3rd,female,4.0,0,2,22.02,Southampton
0,1st,male,,0,0,50.0,Southampton
1,3rd,female,,1,0,15.5,Queenstown
1,1st,male,45.0,0,0,26.55,Southampton
0,3rd,male,40.0,1,1,15.5,Queenstown
0,3rd,male,36.0,0,0,7.9,Southampton
1,2nd,female,32.0,0,0,13.0,Southampton
0,2nd,male,19.0,0,0,13.0,Southampton
1,3rd,female,19.0,1,0,7.85,Southampton
1,2nd,male,3.0,1,1,26.0,Southampton
1,1st,female,44.0,0,0,27.72,Cherbourg
1,1st,female,58.0,0,0,146.52,Cherbourg
0,3rd,male,,0,0,7.75,Queenstown
0,3rd,male,42.0,0,1,8.4,Southampton
1,3rd,female,,0,0,7.75,Queenstown
0,2nd,female,24.0,0,0,13.0,Southampton
0,3rd,male,28.0,0,0,9.5,Southampton
0,3rd,male,,8,2,69.55,Southampton
0,3rd,male,34.0,0,0,6.5,Southampton
0,3rd,male,45.5,0,0,7.22,Cherbourg
1,3rd,male,18.0,0,0,8.05,Southampton
0,3rd,female,2.0,0,1,10.46,Southampton
0,3rd,male,32.0,1,0,15.85,Southampton
1,3rd,male,26.0,0,0,18.79,Cherbourg
1,3rd,female,16.0,0,0,7.75,Queenstown
1,1st,male,40.0,0,0,31.0,Cherbourg
0,3rd,male,24.0,0,0,7.05,Southampton
1,2nd,female,35.0,0,0,21.0,Southampton
0,3rd,male,22.0,0,0,7.25,Southampton
0,2nd,male,30.0,0,0,13.0,Southampton
0,3rd,male,,1,0,7.75,Queenstown
1,1st,female,31.0,1,0,113.28,Cherbourg
1,3rd,female,27.0,0,0,7.92,Southampton
0,2nd,male,42.0,1,0,27.0,Southampton
1,1st,female,32.0,0,0,76.29,Cherbourg
0,2nd,male,30.0,0,0,10.5,Southampton
1,3rd,male,16.0,0,0,8.05,Southampton
0,2nd,male,27.0,0,0,13.0,Southampton
0,3rd,male,51.0,0,0,8.05,Southampton
0,3rd,male,,0,0,7.9,Southampton
1,1st,male,38.0,1,0,90.0,Southampton
0,3rd,male,22.0,0,0,9.35,Southampton
1,2nd,male,19.0,0,0,10.5,Southampton
0,3rd,male,20.5,0,0,7.25,Southampton
0,2nd,male,18.0,0,0,13.0,Southampton
0,3rd,female,,3,1,25.47,Southampton
1,1st,female,35.0,1,0,83.48,Southampton
0,3rd,male,29.0,0,0,7.78,Southampton
0,2nd,male,59.0,0,0,13.5,Southampton
1,3rd,female,5.0,4,2,31.39,Southampton
0,2nd,male,24.0,0,0,10.5,Southampton
0,3rd,female,,0,0,7.55,Southampton
0,2nd,male,44.0,1,0,26.0,Southampton
1,2nd,female,8.0,0,2,26.25,Southampton
0,2nd,male,19.0,0,0,10.5,Southampton
0,2nd,male,33.0,0,0,12.28,Southampton
0,3rd,female,,1,0,14.45,Cherbourg
1,3rd,female,,1,0,15.5,Queenstown
0,2nd,male,29.0,0,0,10.5,Southampton
0,3rd,male,22.0,0,0,7.12,Southampton
0,3rd,male,30.0,0,0,7.22,Cherbourg
0,1st,male,44.0,2,0,90.0,Queenstown
0,3rd,female,25.0,0,0,7.78,Southampton
1,2nd,female,24.0,0,2,14.5,Southampton
1,1st,male,37.0,1,1,52.55,Southampton
0,2nd,male,54.0,1,0,26.0,Southampton
0,3rd,male,,0,0,7.25,Southampton
0,3rd,female,29.0,1,1,10.46,Southampton
0,1st,male,62.0,0,0,26.55,Southampton
0,3rd,male,30.0,1,0,16.1,Southampton
0,3rd,female,41.0,0,2,20.21,Southampton
1,3rd,female,29.0,0,2,15.25,Cherbourg
1,1st,female,,0,0,79.2,Cherbourg
1,1st,female,30.0,0,0,86.5,Southampton
1,1st,female,35.0,0,0,512.33,Cherbourg
1,2nd,female,50.0,0,1,26.0,Southampton
0,3rd,male,,0,0,7.75,Queenstown
1,3rd,male,3.0,4,2,31.39,Southampton
0,1st,male,52.0,1,1,79.65,Southampton
0,1st,male,40.0,0,0,0.0,Southampton
0,3rd,female,,0,0,7.75,Queenstown
0,2nd,male,36.0,0,0,10.5,Southampton
0,3rd,male,16.0,4,1,39.69,Southampton
1,3rd,male,25.0,1,0,7.78,Southampton
1,1st,female,58.0,0,1,153.46,Southampton
1,1st,female,35.0,0,0,135.63,Southampton
0,1st,male,,0,0,31.0,Southampton
1,3rd,male,25.0,0,0,0.0,Southampton
1,2nd,female,41.0,0,1,19.5,Southampton
0,1st,male,37.0,0,1,29.7,Cherbourg
1,3rd,female,,0,0,7.75,Queenstown
1,1st,female,63.0,1,0,77.96,Southampton
0,3rd,female,45.0,0,0,7.75,Southampton
0,2nd,male,,0,0,0.0,Southampton
0,3rd,male,7.0,4,1,29.12,Queenstown
1,3rd,female,35.0,1,1,20.25,Southampton
0,3rd,male,65.0,0,0,7.75,Queenstown
0,3rd,male,28.0,0,0,7.85,Southampton
0,3rd,male,16.0,0,0,9.5,Southampton
1,3rd,male,19.0,0,0,8.05,Southampton
0,1st,male,,0,0,26.0,Southampton
0,3rd,male,33.0,0,0,8.66,Cherbourg
1,3rd,male,30.0,0,0,9.5,Southampton
0,3rd,male,22.0,0,0,7.9,Southampton
1,2nd,male,42.0,0,0,13.0,Southampton
1,3rd,female,22.0,0,0,7.75,Queenstown
1,1st,female,26.0,0,0,78.85,Southampton
1,1st,female,19.0,1,0,91.08,Cherbourg
0,2nd,male,36.0,0,0,12.88,Cherbourg
0,3rd,female,24.0,0,0,8.85,Southampton
0,3rd,male,24.0,0,0,7.9,Southampton
0,1st,male,,0,0,27.72,Cherbourg
0,3rd,male,23.5,0,0,7.23,Cherbourg
0,1st,female,2.0,1,2,151.55,Southampton
1,1st,male,,0,0,30.5,Southampton
1,1st,female,50.0,0,1,247.52,Cherbourg
1,3rd,female,,0,0,7.75,Queenstown
1,3rd,male,,2,0,23.25,Queenstown
0,3rd,male,19.0,0,0,0.0,Southampton
1,2nd,female,,0,0,12.35,Queenstown
0,3rd,male,,0,0,8.05,Southampton
1,1st,male,0.92,1,2,151.55,Southampton
1,1st,female,,0,0,110.88,Cherbourg
1,1st,female,17.0,1,0,108.9,Cherbourg
0,2nd,male,30.0,1,0,24.0,Cherbourg
1,1st,female,30.0,0,0,56.93,Cherbourg
1,1st,female,24.0,0,0,83.16,Cherbourg
1,1st,female,18.0,2,2,262.38,Cherbourg
0,2nd,female,26.0,1,1,26.0,Southampton
0,3rd,male,28.0,0,0,7.9,Southampton
0,2nd,male,43.0,1,1,26.25,Southampton
1,3rd,female,26.0,0,0,7.85,Southampton
1,2nd,female,24.0,1,0,26.0,Southampton
0,2nd,male,54.0,0,0,14.0,Southampton
1,1st,female,31.0,0,2,164.87,Southampton
1,1st,female,40.0,1,1,134.5,Cherbourg
0,3rd,male,22.0,0,0,7.25,Southampton
0,3rd,male,27.0,0,0,7.9,Southampton
1,2nd,female,30.0,0,0,12.35,Queenstown
1,2nd,female,22.0,1,1,29.0,Southampton
0,3rd,male,,8,2,69.55,Southampton
1,1st,female,36.0,0,0,135.63,Cherbourg
0,3rd,male,61.0,0,0,6.24,Southampton
1,2nd,female,36.0,0,0,13.0,Southampton
1,3rd,female,31.0,1,1,20.52,Southampton
1,1st,female,16.0,0,1,57.98,Cherbourg
1,3rd,female,,2,0,23.25,Queenstown
0,1st,male,45.5,0,0,28.5,Southampton
0,1st,male,38.0,0,1,153.46,Southampton
0,3rd,male,16.0,2,0,18.0,Southampton
1,1st,female,,1,0,133.65,Southampton
0,3rd,male,,0,0,7.9,Southampton
0,1st,male,29.0,1,0,66.6,Southampton
1,1st,female,41.0,0,0,134.5,Cherbourg
1,3rd,male,45.0,0,0,8.05,Southampton
0,1st,male,45.0,0,0,35.5,Southampton
1,2nd,male,2.0,1,1,26.0,Southampton
1,1st,female,24.0,3,2,263.0,Southampton
0,2nd,male,28.0,0,0,13.0,Southampton
0,2nd,male,25.0,0,0,13.0,Southampton
0,2nd,male,36.0,0,0,13.0,Southampton
1,2nd,female,24.0,0,0,13.0,Southampton
1,2nd,female,40.0,0,0,13.0,Southampton
1,3rd,female,,1,0,16.1,Southampton
1,3rd,male,3.0,1,1,15.9,Southampton
0,3rd,male,42.0,0,0,8.66,Southampton
0,3rd,male,23.0,0,0,9.22,Southampton
0,1st,male,,0,0,35.0,Southampton
0,3rd,male,15.0,1,1,7.23,Cherbourg
0,3rd,male,25.0,1,0,17.8,Southampton
0,3rd,male,,0,0,7.22,Cherbourg
0,3rd,male,28.0,0,0,9.5,Southampton
1,1st,female,22.0,0,1,55.0,Southampton
0,2nd,female,38.0,0,0,13.0,Southampton
1,3rd,female,,0,0,7.88,Queenstown
1,3rd,female,,0,0,7.88,Queenstown
0,3rd,male,40.0,1,4,27.9,Southampton
0,2nd,male,29.0,1,0,27.72,Cherbourg
0,3rd,female,45.0,0,1,14.45,Cherbourg
0,3rd,male,35.0,0,0,7.05,Southampton
0,3rd,male,,1,0,15.5,Queenstown
0,3rd,male,30.0,0,0,7.25,Southampton
1,1st,female,60.0,1,0,75.25,Cherbourg
1,3rd,female,,0,0,7.23,Cherbourg
1,3rd,female,,0,0,7.75,Queenstown
1,1st,female,24.0,0,0,69.3,Cherbourg
1,1st,male,25.0,1,0,55.44,Cherbourg
0,3rd,male,18.0,1,0,6.5,Southampton
0,3rd,male,19.0,0,0,8.05,Southampton
0,1st,male,22.0,0,0,135.63,Cherbourg
0,3rd,female,3.0,3,1,21.08,Southampton
1,1st,female,,1,0,82.17,Cherbourg
1,3rd,female,22.0,0,0,7.25,Southampton
0,1st,male,27.0,0,2,211.5,Cherbourg
0,3rd,male,20.0,0,0,4.01,Cherbourg
0,3rd,male,19.0,0,0,7.78,Southampton
1,1st,female,42.0,0,0,227.52,Cherbourg
1,3rd,female,1.0,0,2,15.74,Cherbourg
0,3rd,male,32.0,0,0,7.92,Southampton
1,1st,female,35.0,1,0,52.0,Southampton
0,3rd,male,,0,0,7.9,Southampton
0,2nd,male,18.0,0,0,73.5,Southampton
0,3rd,male,1.0,5,2,46.9,Southampton
1,2nd,female,36.0,0,0,13.0,Southampton
0,3rd,male,,0,0,7.73,Queenstown
1,2nd,female,17.0,0,0,12.0,Cherbourg
1,1st,male,36.0,1,2,120.0,Southampton
1,3rd,male,21.0,0,0,7.8,Southampton
0,3rd,male,28.0,2,0,7.92,Southampton
1,1st,female,23.0,1,0,113.28,Cherbourg
1,3rd,female,24.0,0,2,16.7,Southampton
0,3rd,male,22.0,0,0,7.8,Southampton
0,3rd,female,31.0,0,0,7.85,Southampton
0,2nd,male,46.0,0,0,26.0,Southampton
0,2nd,male,23.0,0,0,10.5,Southampton
1,2nd,female,28.0,0,0,12.65,Southampton
1,3rd,male,39.0,0,0,7.92,Southampton
0,3rd,male,26.0,0,0,8.05,Southampton
0,3rd,female,21.0,1,0,9.82,Southampton
0,3rd,male,28.0,1,0,15.85,Southampton
0,3rd,female,20.0,0,0,8.66,Southampton
0,2nd,male,34.0,1,0,21.0,Southampton
0,3rd,male,51.0,0,0,7.75,Southampton
1,2nd,male,3.0,1,1,18.75,Southampton
0,3rd,male,21.0,0,0,7.78,Southampton
0,3rd,female,,3,1,25.47,Southampton
0,3rd,male,,0,0,7.9,Southampton
0,3rd,male,,0,0,6.86,Queenstown
1,1st,female,33.0,1,0,90.0,Queenstown
0,2nd,male,,0,0,0.0,Southampton
1,3rd,male,44.0,0,0,7.92,Southampton
0,3rd,female,,0,0,8.05,Southampton
1,2nd,female,34.0,1,1,32.5,Southampton
1,2nd,female,18.0,0,2,13.0,Southampton
0,2nd,male,30.0,0,0,13.0,Southampton
0,3rd,female,10.0,0,2,24.15,Southampton
0,3rd,male,,0,0,7.9,Cherbourg
0,3rd,male,21.0,0,0,7.73,Queenstown
0,3rd,male,29.0,0,0,7.88,Southampton
0,3rd,female,28.0,1,1,14.4,Southampton
0,3rd,male,18.0,1,1,20.21,Southampton
0,3rd,male,,0,0,7.25,Southampton
1,2nd,female,28.0,1,0,26.0,Southampton
1,2nd,female,19.0,0,0,26.0,Southampton
0,3rd,male,,0,0,7.75,Queenstown
1,3rd,male,32.0,0,0,8.05,Southampton
1,1st,male,28.0,0,0,26.55,Southampton
1,3rd,female,,1,0,16.1,Southampton
1,2nd,female,42.0,1,0,26.0,Southampton
0,3rd,male,17.0,0,0,7.12,Southampton
0,1st,male,50.0,1,0,55.9,Southampton
1,1st,female,14.0,1,2,120.0,Southampton
0,3rd,female,21.0,2,2,34.38,Southampton
1,2nd,female,24.0,2,3,18.75,Southampton
0,1st,male,64.0,1,4,263.0,Southampton
0,2nd,male,31.0,0,0,10.5,Southampton
1,2nd,female,45.0,1,1,26.25,Southampton
0,3rd,male,20.0,0,0,9.5,Southampton
0,3rd,male,25.0,1,0,7.78,Southampton
