survived,class,sex,age,siblings_spouses,parents_children,fare,port
1,2nd,female,28.0,0,0,13.0,Southampton
1,3rd,male,,0,0,8.11,Southampton
1,1st,male,4.0,0,2,81.86,Southampton
1,2nd,female,13.0,0,1,19.5,Southampton
1,1st,male,34.0,0,0,26.55,Southampton
1,3rd,female,5.0,2,1,19.26,Cherbourg
1,1st,male,52.0,0,0,30.5,Southampton
0,2nd,male,36.0,1,2,27.75,Southampton
0,3rd,male,,1,0,19.97,Southampton
0,1st,male,30.0,0,0,27.75,Cherbourg
1,1st,male,49.0,1,0,89.1,Cherbourg
0,3rd,male,,0,0,8.05,Southampton
1,3rd,male,29.0,0,0,7.9,Cherbourg
0,1st,male,65.0,0,0,26.55,Southampton
1,1st,female,,1,0,51.86,Southampton
1,2nd,female,50.0,0,0,10.5,Southampton
0,3rd,male,,0,0,7.75,Queenstown
1,1st,male,48.0,0,0,26.55,Southampton
0,3rd,male,34.0,0,0,8.05,Southampton
0,1st,male,47.0,0,0,38.5,Southampton
0,2nd,male,48.0,0,0,13.0,Southampton
0,3rd,male,,0,0,8.05,Southampton
0,3rd,male,38.0,0,0,7.05,Southampton
0,2nd,male,,0,0,0.0,Southampton
0,1st,male,56.0,0,0,26.55,Southampton
0,3rd,male,,0,0,7.72,Queenstown
1,3rd,female,0.75,2,1,19.26,Cherbourg
0,3rd,male,,0,0,7.25,Southampton
0,3rd,male,38.0,0,0,8.66,Southampton
1,2nd,female,33.0,1,2,27.75,Southampton
1,2nd,female,23.0,0,0,13.79,Cherbourg
0,3rd,female,22.0,0,0,9.84,Southampton
0,1st,male,,0,0,52.0,Southampton
0,2nd,male,34.0,1,0,21.0,Southampton
0,3rd,male,29.0,1,0,7.05,Southampton
0,3rd,male,22.0,0,0,7.52,Southampton
1,3rd,female,2.0,0,1,12.29,Southampton
0,3rd,male,9.0,5,2,46.9,Southampton
0,2nd,male,,0,0,0.0,Southampton
0,3rd,male,50.0,0,0,8.05,Southampton
1,3rd,female,63.0,0,0,9.59,Southampton
1,1st,male,25.0,1,0,91.08,Cherbourg
0,3rd,female,,3,1,25.47,Southampton
1,1st,female,35.0,1,0,90.0,Southampton
0,1st,male,58.0,0,0,29.7,Cherbourg
0,3rd,male,30.0,0,0,8.05,Southampton
1,3rd,male,9.0,1,1,15.9,Southampton
0,3rd,male,,1,0,19.97,Southampton
0,3rd,male,21.0,0,0,7.25,Southampton
0,1st,male,55.0,0,0,30.5,Southampton
0,1st,male,71.0,0,0,49.5,Cherbourg
0,3rd,male,21.0,0,0,8.05,Southampton
0,3rd,male,,0,0,14.46,Cherbourg
1,1st,female,54.0,1,0,78.27,Cherbourg
0,3rd,male,,0,0,15.1,Southampton
0,1st,female,25.0,1,2,151.55,Southampton
0,3rd,male,24.0,0,0,7.8,Southampton
0,3rd,male,17.0,0,0,8.66,Southampton
0,3rd,female,21.0,0,0,7.75,Queenstown
0,3rd,female,,0,0,7.63,Queenstown
0,3rd,female,37.0,0,0,9.59,Southampton
1,1st,female,16.0,0,0,86.5,Southampton
0,1st,male,18.0,1,0,108.9,Cherbourg
1,2nd,female,33.0,0,2,26.0,Southampton
1,1st,male,,0,0,26.55,Southampton
0,3rd,male,28.0,0,0,22.52,Southampton
1,3rd,male,26.0,0,0,56.5,Southampton
1,3rd,male,29.0,0,0,7.75,Queenstown
0,3rd,male,,0,0,8.05,Southampton
1,1st,male,36.0,0,0,26.29,Southampton
1,1st,female,54.0,1,0,59.4,Cherbourg
0,3rd,male,24.0,0,0,7.5,Southampton
0,1st,male,47.0,0,0,34.02,Southampton
1,2nd,female,34.0,0,0,10.5,Southampton
0,3rd,male,,0,0,24.15,Queenstown
1,2nd,female,36.0,1,0,26.0,Southampton
0,3rd,male,32.0,0,0,7.9,Southampton
1,1st,female,30.0,0,0,93.5,Southampton
0,3rd,male,22.0,0,0,7.9,Southampton
0,3rd,male,,0,0,7.22,Cherbourg
1,1st,female,44.0,0,1,57.98,Cherbourg
0,3rd,male,,0,0,7.23,Cherbourg
0,3rd,male,40.5,0,0,7.75,Queenstown
1,2nd,female,50.0,0,0,10.5,Southampton
0,1st,male,,0,0,221.78,Southampton
0,3rd,male,39.0,0,0,7.92,Southampton
0,2nd,male,23.0,2,1,11.5,Southampton
1,2nd,female,2.0,1,1,26.0,Southampton
0,3rd,male,,0,0,7.23,Cherbourg
0,3rd,male,17.0,1,1,7.23,Cherbourg
1,3rd,female,,0,2,22.36,Cherbourg
0,3rd,female,30.0,0,0,8.66,Southampton
1,2nd,female,7.0,0,2,26.25,Southampton
0,1st,male,45.0,0,0,26.55,Southampton
1,1st,female,30.0,0,0,106.42,Cherbourg
0,3rd,male,,0,0,14.5,Southampton
1,1st,female,22.0,0,2,49.5,Cherbourg
1,1st,female,36.0,0,2,71.0,Southampton
0,3rd,female,9.0,4,2,31.28,Southampton
0,3rd,female,11.0,4,2,31.28,Southampton
1,2nd,male,32.0,1,0,26.0,Southampton
0,1st,male,50.0,1,0,106.42,Cherbourg
0,1st,male,64.0,0,0,26.0,Southampton
1,2nd,female,19.0,1,0,26.0,Southampton
1,2nd,male,,0,0,13.86,Cherbourg
0,3rd,male,33.0,1,1,20.52,Southampton
1,2nd,male,8.0,1,1,36.75,Southampton
1,1st,male,17.0,0,2,110.88,Cherbourg
0,2nd,male,27.0,0,0,26.0,Southampton
0,3rd,male,,0,0,7.83,Queenstown
1,3rd,male,22.0,0,0,7.22,Cherbourg
1,3rd,female,22.0,0,0,7.78,Southampton
0,1st,male,62.0,0,0,26.55,Southampton
1,1st,female,48.0,1,0,39.6,Cherbourg
0,1st,male,,0,0,227.52,Cherbourg
1,1st,female,39.0,1,1,79.65,Southampton
1,3rd,female,36.0,1,0,17.4,Southampton
0,3rd,male,,0,0,7.75,Queenstown
0,3rd,male,40.0,0,0,7.9,Southampton
0,2nd,male,28.0,0,0,13.5,Southampton
0,3rd,male,,0,0,8.05,Southampton
0,3rd,female,,0,0,8.05,Southampton
0,3rd,male,24.0,2,0,24.15,Southampton
0,3rd,male,19.0,0,0,7.9,Southampton
0,3rd,female,29.0,0,4,21.08,Southampton
0,3rd,male,,0,0,7.23,Cherbourg
1,3rd,male,32.0,0,0,7.85,Southampton
1,2nd,male,62.0,0,0,10.5,Southampton
1,1st,female,53.0,2,0,51.48,Southampton
1,1st,male,36.0,0,0,26.39,Southampton
1,3rd,female,,0,0,7.75,Queenstown
0,3rd,male,16.0,0,0,8.05,Southampton
0,3rd,male,19.0,0,0,14.5,Southampton
1,2nd,female,34.0,0,0,13.0,Southampton
1,1st,female,39.0,1,0,55.9,Southampton
0,3rd,female,,1,0,14.46,Cherbourg
1,3rd,male,32.0,0,0,7.92,Southampton
1,2nd,female,25.0,1,1,30.0,Southampton
1,1st,female,39.0,1,1,110.88,Cherbourg
0,2nd,male,54.0,0,0,26.0,Southampton
0,1st,male,36.0,0,0,40.12,Cherbourg
0,3rd,male,,0,0,8.71,Cherbourg
1,1st,female,18.0,0,2,79.65,Southampton
0,2nd,male,47.0,0,0,15.0,Southampton
1,1st,male,60.0,1,1,79.2,Cherbourg
0,3rd,male,22.0,0,0,8.05,Southampton
0,3rd,male,,0,0,8.05,Southampton
0,3rd,male,35.0,0,0,7.12,Southampton
1,1st,female,52.0,1,0,78.27,Cherbourg
0,3rd,male,47.0,0,0,7.25,Southampton
0,3rd,female,,0,2,7.75,Queenstown
0,2nd,male,37.0,1,0,26.0,Southampton
0,3rd,male,36.0,1,1,24.15,Southampton
1,2nd,female,,0,0,33.0,Southampton
0,3rd,male,49.0,0,0,0.0,Southampton
0,3rd,male,,0,0,7.22,Cherbourg
1,1st,male,49.0,1,0,56.93,Cherbourg
1,2nd,female,24.0,2,1,27.0,Southampton
0,3rd,male,,0,0,7.9,Southampton
0,1st,male,,0,0,42.4,Southampton
0,3rd,male,44.0,0,0,8.05,Southampton
1,1st,male,35.0,0,0,26.55,Cherbourg
0,3rd,male,36.0,1,0,15.55,Southampton
0,3rd,male,30.0,0,0,7.9,Southampton
1,1st,male,27.0,0,0,30.5,Southampton
1,2nd,female,22.0,1,2,41.58,Cherbourg
1,1st,female,40.0,0,0,153.46,Southampton
0,3rd,female,39.0,1,5,31.28,Southampton
0,3rd,male,,0,0,7.05,Southampton
1,3rd,female,,1,0,15.5,Queenstown
0,3rd,male,,0,0,7.75,Queenstown
0,3rd,male,35.0,0,0,8.05,Southampton
1,2nd,female,24.0,1,2,65.0,Southampton
0,3rd,male,34.0,1,1,14.4,Southampton
0,3rd,female,26.0,1,0,16.1,Southampton
1,2nd,female,4.0,2,1,39.0,Southampton
0,2nd,male,26.0,0,0,10.5,Southampton
0,3rd,male,27.0,1,0,14.45,Cherbourg
1,1st,male,42.0,1,0,52.55,Southampton
1,3rd,male,20.0,1,1,15.74,Cherbourg
0,3rd,male,21.0,0,0,7.85,Southampton
0,3rd,male,21.0,0,0,16.1,Southampton
0,1st,male,61.0,0,0,32.32,Southampton
0,2nd,male,57.0,0,0,12.35,Queenstown
1,1st,female,21.0,0,0,77.96,Southampton
0,3rd,male,26.0,0,0,7.9,Southampton
0,3rd,male,,0,0,7.73,Queenstown
1,1st,male,80.0,0,0,30.0,Southampton
0,3rd,male,51.0,0,0,7.05,Southampton
1,1st,male,32.0,0,0,30.5,Cherbourg
0,1st,male,,0,0,0.0,Southampton
0,3rd,female,9.0,3,2,27.9,Southampton
1,2nd,female,28.0,0,0,13.0,Southampton
0,3rd,male,32.0,0,0,7.92,Southampton
0,2nd,male,31.0,1,1,26.25,Southampton
0,3rd,female,41.0,0,5,39.69,Southampton
0,3rd,male,,1,0,16.1,Southampton
0,3rd,male,20.0,0,0,7.85,Southampton
1,1st,female,24.0,0,0,69.3,Cherbourg
0,3rd,female,2.0,3,2,27.9,Southampton
1,3rd,male,,0,0,56.5,Southampton
1,3rd,female,0.75,2,1,19.26,Cherbourg
1,1st,male,48.0,1,0,76.73,Cherbourg
0,3rd,male,19.0,0,0,7.9,Southampton
1,1st,male,56.0,0,0,35.5,Cherbourg
0,3rd,male,,0,0,7.55,Southampton
1,3rd,female,23.0,0,0,7.55,Southampton
0,3rd,male,,0,0,7.9,Southampton
1,2nd,female,18.0,0,1,23.0,Southampton
0,3rd,male,21.0,0,0,8.43,Southampton
1,3rd,female,,0,0,7.83,Queenstown
0,3rd,female,18.0,0,0,6.75,Queenstown
0,2nd,male,24.0,2,0,73.5,Southampton
0,3rd,male,,0,0,7.9,Southampton
0,3rd,female,32.0,1,1,15.5,Queenstown
0,2nd,male,23.0,0,0,13.0,Southampton
0,1st,male,58.0,0,2,113.28,Cherbourg
1,1st,male,50.0,2,0,133.65,Southampton
0,3rd,male,40.0,0,0,7.22,Cherbourg
0,1st,male,47.0,0,0,25.59,Southampton
0,3rd,male,36.0,0,0,7.5,Southampton
1,3rd,male,20.0,1,0,7.92,Southampton
0,2nd,male,32.0,2,0,73.5,Southampton
0,2nd,male,25.0,0,0,13.0,Southampton
0,3rd,male,,0,0,7.78,Southampton
0,3rd,male,43.0,0,0,8.05,Southampton
1,1st,female,,1,0,52.0,Southampton
1,2nd,female,40.0,1,1,39.0,Southampton
0,1st,male,31.0,1,0,52.0,Southampton
0,2nd,male,70.0,0,0,10.5,Southampton
1,2nd,male,31.0,0,0,13.0,Southampton
0,2nd,male,,0,0,0.0,Southampton
0,3rd,male,18.0,0,0,7.78,Southampton
0,3rd,male,24.5,0,0,8.05,Southampton
1,3rd,female,18.0,0,0,9.84,Southampton
0,3rd,female,43.0,1,6,46.9,Southampton
1,1st,male,36.0,0,1,512.33,Cherbourg
0,3rd,female,,0,0,8.14,Queenstown
1,1st,male,27.0,0,0,76.73,Cherbourg
0,3rd,male,20.0,0,0,9.22,Southampton
0,3rd,male,14.0,5,2,46.9,Southampton
0,2nd,male,60.0,1,1,39.0,Southampton
0,2nd,male,25.0,1,2,41.58,Cherbourg
0,3rd,male,14.0,4,1,39.69,Southampton
0,3rd,male,19.0,0,0,10.17,Southampton
0,3rd,male,18.0,0,0,7.8,Southampton
1,1st,female,15.0,0,1,211.34,Southampton
1,1st,male,31.0,1,0,57.0,Southampton
1,3rd,female,4.0,0,1,13.42,Cherbourg
1,3rd,male,,0,0,56.5,Southampton
0,3rd,male,25.0,0,0,7.22,Cherbourg
0,1st,male,60.0,0,0,26.55,Southampton
0,2nd,male,52.0,0,0,13.5,Southampton
0,3rd,male,44.0,0,0,8.05,Southampton
1,3rd,female,,0,0,7.73,Queenstown
0,1st,male,49.0,1,1,110.88,Cherbourg
0,3rd,male,42.0,0,0,7.65,Southampton
1,1st,female,18.0,1,0,227.52,Cherbourg
1,1st,male,35.0,0,0,26.29,Southampton
0,3rd,female,18.0,0,1,14.45,Cherbourg
0,3rd,male,25.0,0,0,7.74,Queenstown
0,3rd,male,26.0,1,0,7.85,Southampton
0,2nd,male,39.0,0,0,26.0,Southampton
1,2nd,female,45.0,0,0,13.5,Southampton
1,1st,male,42.0,0,0,26.29,Southampton
1,1st,female,22.0,0,0,151.55,Southampton
1,3rd,male,,1,1,15.25,Cherbourg
1,1st,female,24.0,0,0,49.5,Cherbourg
0,1st,male,,0,0,26.55,Southampton
1,1st,male,48.0,1,0,52.0,Southampton
0,3rd,male,29.0,0,0,9.48,Southampton
0,2nd,male,52.0,0,0,13.0,Southampton
0,3rd,male,19.0,0,0,7.65,Southampton
1,1st,female,38.0,0,0,227.52,Cherbourg
1,2nd,female,27.0,0,0,10.5,Southampton
0,3rd,male,,0,0,15.5,Queenstown
0,3rd,male,33.0,0,0,7.78,Southampton
1,2nd,female,6.0,0,1,33.0,Southampton
0,3rd,male,17.0,1,0,7.05,Southampton
0,2nd,male,34.0,0,0,13.0,Southampton
0,2nd,male,50.0,0,0,13.0,Southampton
1,1st,male,27.0,1,0,53.1,Southampton
0,3rd,male,20.0,0,0,8.66,Southampton
1,2nd,female,30.0,3,0,21.0,Southampton
1,3rd,female,,0,0,7.74,Queenstown
0,2nd,male,25.0,1,0,26.0,Southampton
0,3rd,female,25.0,1,0,7.92,Southampton
1,1st,female,29.0,0,0,211.34,Southampton
0,3rd,male,11.0,0,0,18.79,Cherbourg
0,2nd,male,,0,0,0.0,Southampton
0,2nd,male,23.0,0,0,13.0,Southampton
0,2nd,male,23.0,0,0,13.0,Southampton
0,3rd,male,28.5,0,0,16.1,Southampton
0,3rd,female,48.0,1,3,34.38,Southampton
1,1st,male,35.0,0,0,512.33,Cherbourg
0,3rd,male,,0,0,7.9,Southampton
0,3rd,male,,0,0,7.9,Southampton
1,1st,male,,0,0,30.0,Southampton
0,1st,male,36.0,1,0,78.85,Southampton
1,1st,female,21.0,2,2,262.38,Cherbourg
0,3rd,male,24.0,1,0,16.1,Southampton
1,3rd,male,31.0,0,0,7.92,Southampton
0,1st,male,70.0,1,1,71.0,Southampton
0,3rd,male,16.0,1,1,20.25,Southampton
1,2nd,female,30.0,0,0,13.0,Southampton
0,1st,male,19.0,1,0,53.1,Southampton
0,3rd,male,31.0,0,0,7.75,Queenstown
1,2nd,female,4.0,1,1,23.0,Southampton
1,3rd,male,6.0,0,1,12.48,Southampton
0,3rd,male,33.0,0,0,9.5,Southampton
0,3rd,male,23.0,0,0,7.9,Southampton
1,2nd,female,48.0,1,2,65.0,Southampton
1,2nd,male,0.67,1,1,14.5,Southampton
0,3rd,male,28.0,0,0,7.8,Southampton
0,2nd,male,18.0,0,0,11.5,Southampton
0,3rd,male,34.0,0,0,8.05,Southampton
1,1st,female,33.0,0,0,86.5,Southampton
0,3rd,male,,0,0,14.5,Southampton
0,3rd,male,41.0,0,0,7.12,Southampton
1,3rd,male,20.0,0,0,7.23,Cherbourg
1,1st,female,36.0,1,2,120.0,Southampton
0,3rd,male,16.0,0,0,7.78,Southampton
1,1st,female,51.0,1,0,77.96,Southampton
0,1st,male,,0,0,39.6,Cherbourg
0,3rd,female,30.5,0,0,7.75,Queenstown
0,3rd,male,,1,0,24.15,Queenstown
0,3rd,male,32.0,0,0,8.36,Southampton
0,3rd,male,24.0,0,0,9.5,Southampton
0,3rd,male,48.0,0,0,7.85,Southampton
0,2nd,female,57.0,0,0,10.5,Southampton
0,3rd,male,,0,0,7.22,Cherbourg
1,2nd,female,54.0,1,3,23.0,Southampton
0,3rd,male,18.0,0,0,7.75,Southampton
0,3rd,male,,0,0,7.75,Queenstown
1,3rd,female,5.0,0,0,12.48,Southampton
0,3rd,male,,0,0,7.74,Queenstown
1,1st,female,43.0,0,1,211.34,Southampton
1,3rd,female,13.0,0,0,7.23,Cherbourg
1,1st,female,17.0,1,0,57.0,Southampton
0,1st,male,29.0,0,0,30.0,Southampton
0,3rd,male,,1,2,23.45,Southampton
0,3rd,male,25.0,0,0,7.05,Southampton
0,3rd,male,25.0,0,0,7.25,Southampton
1,3rd,female,18.0,0,0,7.5,Southampton
0,3rd,male,8.0,4,1,29.12,Queenstown
1,3rd,male,1.0,1,2,20.58,Southampton
0,1st,male,46.0,0,0,79.2,Cherbourg
0,3rd,male,,0,0,7.75,Queenstown
0,2nd,male,16.0,0,0,26.0,Southampton
0,3rd,female,,8,2,69.55,Southampton
0,1st,male,,0,0,30.7,Cherbourg
0,3rd,male,25.0,0,0,7.9,Southampton
0,2nd,male,39.0,0,0,13.0,Southampton
1,1st,female,49.0,0,0,25.93,Southampton
1,3rd,female,31.0,0,0,8.68,Southampton
0,3rd,male,30.0,0,0,7.23,Cherbourg
0,3rd,female,30.0,1,1,24.15,Southampton
0,2nd,male,34.0,0,0,13.0,Southampton
1,2nd,female,31.0,1,1,26.25,Southampton
1,1st,male,11.0,1,2,120.0,Southampton
1,3rd,male,0.42,0,1,8.52,Cherbourg
1,3rd,male,27.0,0,0,6.98,Southampton
0,3rd,male,31.0,0,0,7.78,Southampton
0,1st,male,39.0,0,0,0.0,Southampton
0,3rd,female,18.0,0,0,7.78,Southampton
0,2nd,male,39.0,0,0,13.0,Southampton
1,1st,female,33.0,1,0,53.1,Southampton
0,3rd,male,26.0,0,0,7.89,Southampton
0,3rd,male,39.0,0,0,24.15,Southampton
0,2nd,male,35.0,0,0,10.5,Southampton
0,3rd,female,6.0,4,2,31.28,Southampton
0,3rd,male,30.5,0,0,8.05,Southampton
0,1st,male,,0,0,0.0,Southampton
0,3rd,female,23.0,0,0,7.92,Southampton
0,2nd,male,31.0,1,1,37.0,Cherbourg
0,3rd,male,43.0,0,0,6.45,Southampton
0,3rd,male,10.0,3,2,27.9,Southampton
1,1st,female,52.0,1,1,93.5,Southampton
1,3rd,male,27.0,0,0,8.66,Southampton
0,1st,male,38.0,0,0,0.0,Southampton
1,3rd,female,27.0,0,1,12.48,Southampton
0,3rd,male,2.0,4,1,39.69,Southampton
0,3rd,male,,0,0,6.95,Queenstown
0,3rd,male,,0,0,56.5,Southampton
1,2nd,male,1.0,0,2,37.0,Cherbourg
1,3rd,male,,0,0,7.75,Queenstown
1,1st,female,62.0,0,0,80.0,
1,3rd,female,15.0,1,0,14.45,Cherbourg
1,2nd,male,0.83,1,1,18.75,Southampton
0,3rd,male,,0,0,7.23,Cherbourg
0,3rd,male,23.0,0,0,7.85,Southampton
0,3rd,male,18.0,0,0,8.3,Southampton
1,1st,female,39.0,1,1,83.16,Cherbourg
0,3rd,male,21.0,0,0,8.66,Southampton
0,3rd,male,,0,0,8.05,Southampton
1,3rd,male,32.0,0,0,56.5,Southampton
1,1st,male,,0,0,29.7,Cherbourg
0,3rd,male,20.0,0,0,7.92,Southampton
0,2nd,male,16.0,0,0,10.5,Southampton
1,1st,female,30.0,0,0,31.0,Cherbourg
0,3rd,male,34.5,0,0,6.44,Cherbourg
0,3rd,male,17.0,0,0,8.66,Southampton
0,3rd,male,42.0,0,0,7.55,Southampton
0,3rd,male,,8,2,69.55,Southampton
0,3rd,male,35.0,0,0,7.9,Cherbourg
0,2nd,male,28.0,0,1,33.0,Southampton
1,1st,female,,1,0,89.1,Cherbourg
0,3rd,male,4.0,4,2,31.28,Southampton
0,3rd,male,74.0,0,0,7.78,Southampton
0,3rd,female,9.0,1,1,15.25,Cherbourg
1,1st,female,16.0,0,1,39.4,Southampton
0,2nd,female,44.0,1,0,26.0,Southampton
1,3rd,female,18.0,0,1,9.35,Southampton
1,1st,female,45.0,1,1,164.87,Southampton
1,1st,male,51.0,0,0,26.55,Southampton
1,3rd,female,24.0,0,3,19.26,Cherbourg
0,3rd,male,,0,0,7.23,Cherbourg
0,3rd,male,41.0,2,0,14.11,Southampton
0,2nd,male,21.0,1,0,11.5,Southampton
1,1st,female,48.0,0,0,25.93,Southampton
0,3rd,female,,8,2,69.55,Southampton
0,2nd,male,24.0,0,0,13.0,Southampton
1,2nd,female,42.0,0,0,13.0,Southampton
1,2nd,female,27.0,1,0,13.86,Cherbourg
0,1st,male,31.0,0,0,50.5,Southampton
0,3rd,male,,0,0,9.5,Southampton
1,3rd,male,4.0,1,1,11.13,Southampton
0,3rd,male,26.0,0,0,7.9,Southampton
1,1st,female,47.0,1,1,52.55,Southampton
0,1st,male,33.0,0,0,5.0,Southampton
0,3rd,male,47.0,0,0,9.0,Southampton
1,2nd,female,28.0,1,0,24.0,Cherbourg
1,3rd,female,15.0,0,0,7.22,Cherbourg
0,3rd,male,20.0,0,0,9.85,Southampton
0,3rd,male,19.0,0,0,7.9,Southampton
0,3rd,male,,0,0,7.9,Southampton
1,1st,female,56.0,0,1,83.16,Cherbourg
1,2nd,female,25.0,0,1,26.0,Southampton
0,3rd,male,33.0,0,0,7.9,Southampton
0,3rd,female,22.0,0,0,10.52,Southampton
0,2nd,male,28.0,0,0,10.5,Southampton
0,3rd,male,25.0,0,0,7.05,Southampton
0,3rd,female,39.0,0,5,29.12,Queenstown
0,2nd,male,27.0,0,0,13.0,Southampton
1,1st,female,19.0,0,0,30.0,Southampton
0,3rd,female,,1,2,23.45,Southampton
1,1st,male,26.0,0,0,30.0,Cherbourg
0,3rd,male,32.0,0,0,7.75,Queenstown
